Sl. No.,State/UT,2018,2019
1,Andhra Pradesh,365,628
2,Arunachal Pradesh,0,0
3,Assam,5,26
4,Bihar,0,0
5,Chhattisgarh,182,233
6,Goa,0,0
7,Gujarat,21,3
8,Haryana,0,0
9,Himachal Pradesh,5,12
10,Jammu & Kashmir,5,0
11,Jharkhand,0,0
12,Karnataka,1365,1331
13,Kerala,25,22
14,Madhya Pradesh,303,142
15,Maharashtra,2239,2680
16,Manipur,2,0
17,Meghalaya,0,0
18,Mizoram,17,22
19,Nagaland,0,0
20,Odisha,0,0
21,Punjab,229,239
22,Rajasthan,2,2
23,Sikkim,1,0
24,Tamil Nadu,6,6
25,Telangana,900,491
26,Tripura,0,0
27,Uttar Pradesh,80,108
28,Uttarakhand,0,0
29,West Bengal,0,0
30,Andaman & Nicobar Islands,4,5
31,Chandigarh,NA,0
32,Dadra & Nagar Haveli,7,7
33,Daman & Diu,0,0
34,Delhi,0,0
35,Lakshadweep,0,0
36,Puducherry,0,0
Total (All-India),Total (All-India),5763,5957
